date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01 00:00:00,25.3,23.6,26.6,8.9,,,12,,1020.9,
2020-01-02 00:00:00,25.1,24,27,0,,,13,,1021,
2020-01-03 00:00:00,23.2,22,27,1.8,,,6.7,,1019.9,
2020-01-04 00:00:00,23.5,22,26,2.3,,,3.7,,1018,
2020-01-05 00:00:00,24.2,21,27.7,3.3,,,4.6,,1017.3,
2020-01-06 00:00:00,25.1,21.2,29,0,,,5.6,,1016.4,
2020-01-07 00:00:00,25.3,22,29,0,,,6.1,,1015.7,
2020-01-08 00:00:00,24.5,22,28,,,,5.3,,1016.6,
2020-01-09 00:00:00,24.1,22,28,0,,,4,,1015.3,
2020-01-10 00:00:00,24.6,20,28,0,,,3.8,,1013.9,
2020-01-11 00:00:00,24.1,22.8,28,,,,4.3,,1013.5,
2020-01-12 00:00:00,24.5,20.7,28.4,0,,,4.6,,1014.4,
2020-01-13 00:00:00,23.4,21,27,7.4,,,6.2,,1014.6,
2020-01-14 00:00:00,24.3,19.8,27.1,0,,,7,,1015.6,
2020-01-15 00:00:00,24.1,21,28,0,,,7.4,,1014.8,
2020-01-16 00:00:00,24.8,19.9,29,0,,,5.7,,1014.9,
2020-01-17 00:00:00,23.8,21.8,27.3,0,,,4.4,,1017,
2020-01-18 00:00:00,24.1,20.5,28,0,,,5.1,,1016.6,
2020-01-19 00:00:00,23,21,27,0.5,,,4.8,,1017.7,
2020-01-20 00:00:00,22.9,18.6,26.2,0,,,4.5,,1018.8,
2020-01-21 00:00:00,24.1,19,27,0,,,6.5,,1019,
2020-01-22 00:00:00,24.2,20,28.3,0,,,6.5,,1016.9,
2020-01-23 00:00:00,25.3,20.4,28.2,0,,,7,,1014.9,
2020-01-24 00:00:00,25.7,23,30,0,,,9.7,,1014.5,
2020-01-25 00:00:00,25,22.6,29,0,,,8.2,,1012.2,
2020-01-26 00:00:00,22.9,21.8,26,0,,,9.7,,1013,
2020-01-27 00:00:00,22.2,20,25,0,,,6.1,,1013.6,
2020-01-28 00:00:00,21.5,20,24.6,3,,,4.9,,1014.6,
2020-01-29 00:00:00,20.7,20,22,0.3,,,5.7,,1017.5,
2020-01-30 00:00:00,19.9,19,22,0,,,5.1,,1019,
2020-01-31 00:00:00,21.4,17.8,24,0,,,2.7,,1018.7,
2020-02-01 00:00:00,22.2,20,26,0,,,6.1,,1018.3,
2020-02-02 00:00:00,22.9,17.8,27,0,,,4.1,,1018.6,
2020-02-03 00:00:00,23.4,16.5,28,,,,6.7,,1017.1,
2020-02-04 00:00:00,23.8,19.4,28,0,,,5.5,,1016.5,
2020-02-05 00:00:00,22.8,20,27,0,,,5.5,,1016.6,
2020-02-06 00:00:00,23.2,18.5,28.2,0,,,6.1,,1016.2,
2020-02-07 00:00:00,24.3,20.4,27.2,0,,,5.3,,1017.5,
2020-02-08 00:00:00,24.5,21.5,27.3,0,,,7.2,,1019.7,
2020-02-09 00:00:00,24.2,23,27.2,0,,,12.8,,1021.1,
2020-02-10 00:00:00,22.8,21,26,0,,,9.9,,1019.5,
2020-02-11 00:00:00,24.3,21,27,0,,,3.8,,1017.9,
2020-02-12 00:00:00,25.7,23.5,29,0,,,6.4,,1015.8,
2020-02-13 00:00:00,26.6,23.7,31,,,,7.8,,1012.2,
2020-02-14 00:00:00,25.9,24,30,,,,6,,1009.7,
2020-02-15 00:00:00,26.6,23,33,,,,6.2,,1010.5,
2020-02-16 00:00:00,24.5,22.6,29.5,,,,11.2,,1015,
2020-02-17 00:00:00,22.1,21,25.3,,,,10.7,,1021.5,
2020-02-18 00:00:00,20.2,19,21,0.5,,,4.5,,1021.9,
2020-02-19 00:00:00,22.8,19.6,26,0,,,5.1,,1020.8,
2020-02-20 00:00:00,23.7,20.8,26.5,0,,,6.5,,1020.7,
2020-02-21 00:00:00,22.8,21,26,0.5,,,5.5,,1023.1,
2020-02-22 00:00:00,23.2,19.9,27,0,,,6.9,,1023.6,
2020-02-23 00:00:00,23.1,20,27.1,,,,6,,1021.8,
2020-02-24 00:00:00,23.2,19,28.1,,,,5.1,,1018.4,
2020-02-25 00:00:00,24.4,18,28,,,,6.4,,1016.3,
2020-02-26 00:00:00,25.2,22,29,,,,6.5,,1016.7,
2020-02-27 00:00:00,25.3,23,28,,,,6.9,,1016.3,
2020-02-28 00:00:00,25,21,28.6,,,,5.5,,1015,
2020-02-29 00:00:00,25.8,22,29,,,,6,,1013.2,
2020-03-01 00:00:00,26.3,23,30,,,,7.5,,1012.9,
2020-03-02 00:00:00,26.1,24,29,,,,10.2,,1013.5,
2020-03-03 00:00:00,25.6,24.2,27.2,0,,,12,,1013.9,
2020-03-04 00:00:00,25.4,24,28,0,,,11.6,,1013.8,
2020-03-05 00:00:00,24.8,23,27,28.2,,,6.9,,1015,
2020-03-06 00:00:00,24.6,23,27,1,,,6.2,,1014.9,
2020-03-07 00:00:00,26.5,22.8,30,0,,,6.2,,1012,
2020-03-08 00:00:00,26.9,23,31,,,,6.7,,1008.6,
2020-03-09 00:00:00,28.6,23.5,37,,,,6.6,,1006.2,
2020-03-10 00:00:00,27.8,25,34,,,,10.4,,1009,
2020-03-11 00:00:00,25.9,24,29,,,,7.2,,1013.8,
2020-03-12 00:00:00,27.3,23.9,31,,,,6.8,,1012.9,
2020-03-13 00:00:00,27.4,24.6,31,,,,6.8,,1012.4,
2020-03-14 00:00:00,26.1,25,30,,,,6.8,,1013.9,
2020-03-15 00:00:00,26.5,24,30,1.3,,,5.5,,1015.4,
2020-03-16 00:00:00,26.6,23.7,30,0,,,7.6,,1015.3,
2020-03-17 00:00:00,26.7,24,29.4,0,,,10,,1015,
2020-03-18 00:00:00,26.4,24.8,30,0,,,9.2,,1012.8,
2020-03-19 00:00:00,27.6,24.1,31,0,,,8.1,,1011.5,
2020-03-20 00:00:00,27,26,29.5,0,,,6.6,,1013.1,
2020-03-21 00:00:00,27.3,25,31,0,,,10,,1012.9,
2020-03-22 00:00:00,27.2,24,31,0,,,7.5,,1012.1,
2020-03-23 00:00:00,26.4,24,31,0,,,6.7,,1012.2,
2020-03-24 00:00:00,27.4,22.7,31,0,,,8.2,,1011.9,
2020-03-25 00:00:00,27.5,25,31,0,,,11.2,,1010.9,
2020-03-26 00:00:00,27.3,24,31,0,,,9.3,,1010.9,
2020-03-27 00:00:00,27.9,24.6,31.1,0,,,7.7,,1010.4,
2020-03-28 00:00:00,28,26,32,0,,,8.1,,1009.6,
2020-03-29 00:00:00,28.1,25,31,0,,,7.7,,1009.3,
2020-03-30 00:00:00,28.4,25,32,0,,,7.3,,1008.4,
2020-03-31 00:00:00,28.3,26,33,0,,,7.1,,1009.4,
2020-04-01 00:00:00,27.4,25,30.3,0,,,10,,1011.1,
