date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01 00:00:00,21.3,20,23,,,,5.6,,1023.8,
2020-01-02 00:00:00,21.6,20,24,,,,6.9,,1022.1,
2020-01-03 00:00:00,22.7,20,26,,,,12.7,,1020.1,
2020-01-04 00:00:00,21.3,20,25,,,,9.3,,1018.5,
2020-01-05 00:00:00,21.3,19,24,,,,9.4,,1017.4,
2020-01-06 00:00:00,22.6,20,27,,,,14.8,,1016,
2020-01-07 00:00:00,22,20,25,,,,7.6,,1016.2,
2020-01-08 00:00:00,23.4,21,28,,,,12.4,,1016.3,
2020-01-09 00:00:00,23.8,21,28,,,,10.9,,1014.7,
2020-01-10 00:00:00,24,21,28,,,,15.1,,1013.1,
2020-01-11 00:00:00,21.1,17,26,,,,15.7,,1014.1,
2020-01-12 00:00:00,16.2,14,18,,,,10.9,,1017.7,
2020-01-13 00:00:00,16.4,15,18,,,,4.6,,1015.6,
2020-01-14 00:00:00,19.3,17,22,,,,4.8,,1014.5,
2020-01-15 00:00:00,22.7,20,26,,,,17.5,,1013,
2020-01-16 00:00:00,22.6,18,26,,,,15.8,,1014.8,
2020-01-17 00:00:00,16,14,18,,,,17,,1019,
2020-01-18 00:00:00,14.6,14,15,,,,10.8,,1017.8,
2020-01-19 00:00:00,14.8,14,16,,,,12.8,,1020.5,
2020-01-20 00:00:00,14.3,13,15,,,,7.5,,1020.2,
2020-01-21 00:00:00,17.8,15,21,,,,6.1,,1018.8,
2020-01-22 00:00:00,20.6,18,24,,,,8.2,,1016,
2020-01-23 00:00:00,23.4,21,27,,,,15.4,,1014,
2020-01-24 00:00:00,21.8,21,23,,,,13,,1013.8,
2020-01-25 00:00:00,17.4,13,20,,,,18.9,,1014,
2020-01-26 00:00:00,15.8,13,19,,,,12.2,,1018,
2020-01-27 00:00:00,14.6,13,16,,,,11.3,,1016.9,
2020-01-28 00:00:00,14.8,14,16,,,,11.2,,1018.6,
2020-01-29 00:00:00,14.6,14,16,,,,9.2,,1022.1,
2020-01-30 00:00:00,15.3,10,20,,,,6.2,,1021.8,
2020-01-31 00:00:00,16.5,12,20,,,,8.2,,1020.1,
2020-02-01 00:00:00,15.9,15,17,,,,5,,1019,
2020-02-02 00:00:00,17.5,16,20,,,,4.1,,1018.5,
2020-02-03 00:00:00,17.4,15,20,,,,11.8,,1017,
2020-02-04 00:00:00,14,13,15,,,,12.8,,1019.1,
2020-02-05 00:00:00,14.2,14,15,,,,8,,1018.2,
2020-02-06 00:00:00,16.8,15,20,,,,5.9,,1016.2,
2020-02-07 00:00:00,18.8,17,20,,,,7.3,,1018.3,
2020-02-08 00:00:00,17.6,17,19,,,,14.4,,1021.7,
2020-02-09 00:00:00,15,14,16,,,,12.5,,1025.3,
2020-02-10 00:00:00,16.3,14,18,,,,8.3,,1021.6,
2020-02-11 00:00:00,18.7,16,22,,,,6.9,,1018,
2020-02-12 00:00:00,20.2,18,23,,,,7,,1015.2,
2020-02-13 00:00:00,21.1,20,22,,,,7.2,,1011,
2020-02-14 00:00:00,23.4,22,27,,,,12.7,,1007.5,
2020-02-15 00:00:00,24.8,23,28,,,,11.2,,1009.3,
2020-02-16 00:00:00,18.8,17,23,,,,20,,1020.8,
2020-02-17 00:00:00,17.5,16,20,,,,11.1,,1026,
2020-02-18 00:00:00,17.8,15,21,,,,9.2,,1024.8,
2020-02-19 00:00:00,17.9,15,21,,,,6.7,,1022.1,
2020-02-20 00:00:00,18.5,18,19,,,,7.2,,1022,
2020-02-21 00:00:00,19.2,17,22,,,,9.4,,1025,
2020-02-22 00:00:00,19.6,17,24,,,,6.8,,1025.4,
2020-02-23 00:00:00,20.5,16,25,,,,6.8,,1022.7,
2020-02-24 00:00:00,21.6,17,26,,,,10.8,,1018.2,
2020-02-25 00:00:00,21.8,18,26,,,,10.2,,1016.3,
2020-02-26 00:00:00,22.3,18,27,,,,10.5,,1016.9,
2020-02-27 00:00:00,24,20,28,,,,9.9,,1016.8,
2020-02-28 00:00:00,23.8,21,27,,,,12.5,,1015.2,
2020-02-29 00:00:00,23.6,21,27,,,,13.2,,1012.8,
2020-03-01 00:00:00,23.8,22,26,,,,12.9,,1012.4,
2020-03-02 00:00:00,23.5,22,25,,,,13.9,,1013.1,
2020-03-03 00:00:00,22.3,20,25,,,,14,,1013.4,
2020-03-04 00:00:00,19,17,23,,,,12.6,,1016.6,
2020-03-05 00:00:00,16.6,15,18,,,,11.7,,1018.7,
2020-03-06 00:00:00,19.4,16,23,,,,8.5,,1014.5,
2020-03-07 00:00:00,21.6,19,24,,,,7.4,,1010.9,
2020-03-08 00:00:00,24.5,21,29,,,,9.4,,1005.3,
2020-03-09 00:00:00,27,23,33,,,,7.8,,1004.2,
2020-03-10 00:00:00,24.2,23,26,,,,12.8,,1012.2,
2020-03-11 00:00:00,22.3,21,24,,,,9.9,,1014.2,
2020-03-12 00:00:00,22.4,20,25,,,,8.2,,1011.8,
2020-03-13 00:00:00,24.8,23,28,,,,7.6,,1012.4,
2020-03-14 00:00:00,22.3,21,25,,,,9.2,,1016.7,
2020-03-15 00:00:00,20.2,19,21,,,,6.2,,1017.4,
2020-03-16 00:00:00,20,19,21,,,,5.8,,1015.3,
2020-03-17 00:00:00,21.6,20,23,,,,7.8,,1015,
2020-03-18 00:00:00,18.6,18,20,,,,13.5,,1013.5,
2020-03-19 00:00:00,19.4,18,21,,,,7.9,,1014,
2020-03-20 00:00:00,21.8,19,25,,,,7.2,,1013.3,
2020-03-21 00:00:00,23.9,21,27,,,,10,,1011.7,
2020-03-22 00:00:00,25.3,24,28,,,,9.6,,1011.5,
2020-03-23 00:00:00,24.5,23,28,,,,10.5,,1012.1,
2020-03-24 00:00:00,25.4,22,29,,,,14.2,,1011.4,
2020-03-25 00:00:00,25.6,24,28,,,,13.1,,1009.7,
2020-03-26 00:00:00,26.4,24,29,,,,17.5,,1009,
2020-03-27 00:00:00,26.7,25,29,,,,14.4,,1008.5,
2020-03-28 00:00:00,25.7,24,28,,,,14.2,,1009.8,
2020-03-29 00:00:00,24.7,22,28,,,,15.4,,1008,
2020-03-30 00:00:00,20.4,17,25,,,,17.8,,1009.1,
2020-03-31 00:00:00,18.3,17,19,,,,12.1,,1012,
2020-04-01 00:00:00,19,17,21,,,,9.9,,1013,
2020-04-02 00:00:00,19.7,18,21,,,,5.4,,1012.8,
2020-04-03 00:00:00,20.9,20,22,,,,9.6,,1013,
2020-04-04 00:00:00,19.2,18,21,,,,15.9,,1016.2,
2020-04-05 00:00:00,18.1,16,20,,,,13.2,,1018.2,
2020-04-06 00:00:00,17.3,16,20,,,,6.6,,1016.7,
2020-04-07 00:00:00,19.5,16,23,,,,7.1,,1015.6,
2020-04-08 00:00:00,20.5,18,23,,,,5.6,,1016,
2020-04-09 00:00:00,22.5,20,26,,,,6.9,,1016.3,
2020-04-10 00:00:00,23.7,21,27,,,,9,,1014.6,
2020-04-11 00:00:00,25.1,22,29,,,,7.2,,1013.2,
2020-04-12 00:00:00,20,18,24,,,,12.3,,1018.3,
2020-04-13 00:00:00,16.5,15,18,,,,8.1,,1020.8,
2020-04-14 00:00:00,19.1,14,25,,,,7.8,,1017.1,
2020-04-15 00:00:00,21.6,17,26,,,,11.5,,1014.2,
2020-04-16 00:00:00,23,21,24,,,,10,,1011.1,
2020-04-17 00:00:00,24.2,23,26,,,,12.4,,1011.3,
2020-04-18 00:00:00,26.3,23,32,,,,13.1,,1010.3,
2020-04-19 00:00:00,26,25,28,,,,12.4,,1009.2,
2020-04-20 00:00:00,27,24,30,,,,14.2,,1009.7,
2020-04-21 00:00:00,27,25,29,,,,13.5,,1008.8,
2020-04-22 00:00:00,24.5,21,27,,,,11.8,,1011,
2020-04-23 00:00:00,20.6,18,22,,,,17.7,,1015.6,
2020-04-24 00:00:00,17.5,16,19,,,,11.3,,1020.5,
2020-04-25 00:00:00,18.6,17,21,,,,6.7,,1019.7,
2020-04-26 00:00:00,20,18,23,,,,9.5,,1019.7,
2020-04-27 00:00:00,22.8,16,29,,,,8.3,,1018.1,
2020-04-28 00:00:00,25.2,19,31,,,,6.9,,1016.2,
2020-04-29 00:00:00,25.4,21,30,,,,8.8,,1014.9,
2020-04-30 00:00:00,25.4,22,29,,,,10.5,,1013.7,
2020-05-01 00:00:00,24.1,23,27,,,,8.6,,1010.5,
2020-05-02 00:00:00,27.1,23,32,,,,9,,1005.7,
2020-05-03 00:00:00,27.9,25,31,,,,11.6,,1005.6,
2020-05-04 00:00:00,29.3,26,34,,,,13.1,,1007.5,
2020-05-05 00:00:00,29,26,33,,,,14.1,,1006.2,
2020-05-06 00:00:00,28.4,26,32,,,,14,,1005,
2020-05-07 00:00:00,28.6,26,32,,,,13,,1003.9,
2020-05-08 00:00:00,28.7,24,33,,,,13.9,,1004.4,
2020-05-09 00:00:00,28,24,34,,,,10.6,,1006.4,
2020-05-10 00:00:00,30.4,27,35,,,,11.1,,1006.5,
2020-05-11 00:00:00,29.4,27,32,,,,15.3,,1007.9,
2020-05-12 00:00:00,27.5,25,30,,,,10.3,,1010.3,
