date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01 00:00:00,28.7,22,35,,,,10.4,,1014,
2020-01-02 00:00:00,28.8,23,35,,,,9.8,,1014.2,
2020-01-03 00:00:00,28.5,24,34,,,,7.2,,1013.1,
2020-01-04 00:00:00,27.7,24,33,,,,6.6,,1011.4,
2020-01-05 00:00:00,27.2,23,33,,,,6.7,,1011.5,
2020-01-06 00:00:00,27.9,23,34,,,,7.1,,1011.6,
2020-01-07 00:00:00,29.5,24,35,,,,7.9,,1010.6,
2020-01-08 00:00:00,28.8,25,35,,,,8.4,,1010.2,
2020-01-09 00:00:00,28.4,24,35,,,,8.6,,1009.2,
2020-01-10 00:00:00,28.8,24,34,,,,8.9,,1008.9,
2020-01-11 00:00:00,27.9,24,32,,,,8,,1009.3,
2020-01-12 00:00:00,27.4,24,32,,,,6.7,,1009.4,
2020-01-13 00:00:00,27.5,23,34,,,,9.8,,1009.3,
2020-01-14 00:00:00,27,22,34,,,,9.8,,1010.5,
2020-01-15 00:00:00,27.5,22,34,,,,9.4,,1010.8,
2020-01-16 00:00:00,28.1,23,34,,,,7.9,,1011,
2020-01-17 00:00:00,28.2,24,34,,,,8.4,,1011.5,
2020-01-18 00:00:00,27.2,24,32,,,,9,,1011.5,
2020-01-19 00:00:00,27.9,23,34,,,,9.3,,1011.8,
2020-01-20 00:00:00,28.4,23,34,,,,8.5,,1012.4,
2020-01-21 00:00:00,29.4,25,35,,,,9.8,,1013.6,
2020-01-22 00:00:00,29,24,34,,,,10,,1012.6,
2020-01-23 00:00:00,29,25,34,,,,13,,1011.6,
2020-01-24 00:00:00,28.5,23,35,,,,12.4,,1011.5,
2020-01-25 00:00:00,28.1,25,33,,,,13.5,,1010.3,
2020-01-26 00:00:00,27.8,24,33,,,,10.9,,1009.9,
2020-01-27 00:00:00,27.4,25,32,,,,14.1,,1010,
2020-01-28 00:00:00,27.3,24,32,,,,11.9,,1010.5,
2020-01-29 00:00:00,27.4,24,33,,,,11.1,,1011.8,
2020-01-30 00:00:00,27.8,24,33,,,,8.7,,1011.2,
2020-01-31 00:00:00,27,23,31,,,,8.1,,1011.9,
2020-02-01 00:00:00,27.2,24,32,,,,8.6,,1012.5,
2020-02-02 00:00:00,26.5,22,32,,,,8.4,,1013.8,
2020-02-03 00:00:00,27.1,21,33,,,,9.3,,1012.7,
2020-02-04 00:00:00,27.7,22,35,,,,11.7,,1011.6,
2020-02-05 00:00:00,27.6,22,34,,,,9.8,,1011.2,
2020-02-06 00:00:00,27,22,32,,,,9.5,,1012.3,
2020-02-07 00:00:00,27.7,23,35,,,,11,,1012.5,
2020-02-08 00:00:00,27.9,22,35,,,,7.3,,1012.4,
2020-02-09 00:00:00,28.5,25,32,,,,9.5,,1012.4,
2020-02-10 00:00:00,27.8,23,33,,,,7.8,,1012.4,
2020-02-11 00:00:00,29,23,35,,,,13.1,,1012.8,
2020-02-12 00:00:00,29.6,26,35,,,,16.3,,1012.4,
2020-02-13 00:00:00,29,26,35,,,,14.7,,1011.5,
2020-02-14 00:00:00,27.8,25,32,,,,12.3,,1010.4,
2020-02-15 00:00:00,28.2,25,32,,,,12,,1011.1,
2020-02-16 00:00:00,28.8,24,35,,,,9,,1011.9,
2020-02-17 00:00:00,28.7,24,36,,,,12.1,,1012.8,
2020-02-18 00:00:00,28.2,25,33,,,,6.9,,1013,
2020-02-19 00:00:00,28,22,35,,,,8,,1013.2,
2020-02-20 00:00:00,28.2,23,34,,,,6.8,,1013.1,
2020-02-21 00:00:00,29.1,23,35,,,,10.4,,1014.2,
2020-02-22 00:00:00,28.2,22,35,,,,10.9,,1014.7,
2020-02-23 00:00:00,28,23,35,,,,12.9,,1013.8,
2020-02-24 00:00:00,28.2,22,35,,,,7.5,,1012.2,
2020-02-25 00:00:00,28.4,23,34,,,,8.7,,1010.7,
2020-02-26 00:00:00,29.1,24,36,,,,12.6,,1011,
2020-02-27 00:00:00,29.1,24,35,,,,12.7,,1010.1,
2020-02-28 00:00:00,28.7,23,35,,,,9.9,,1009.9,
2020-02-29 00:00:00,28.9,25,34,,,,11.7,,1009.4,
2020-03-01 00:00:00,29.5,26,35,,,,12.2,,1009.5,
2020-03-02 00:00:00,29.5,26,36,,,,14.7,,1009.6,
2020-03-03 00:00:00,29.2,26,35,,,,12.1,,1009.8,
2020-03-04 00:00:00,28.9,26,34,,,,12.8,,1010,
2020-03-05 00:00:00,29.2,26,34,,,,14.8,,1010.6,
2020-03-06 00:00:00,28.8,26,34,,,,13.7,,1012,
2020-03-07 00:00:00,28.7,26,35,,,,11.1,,1011.5,
2020-03-08 00:00:00,29.5,26,35,,,,9.4,,1009.4,
2020-03-09 00:00:00,29.6,27,35,,,,10.9,,1007.9,
2020-03-10 00:00:00,29.9,27,35,,,,10.8,,1008.1,
2020-03-11 00:00:00,29.3,27,33,,,,13.5,,1010.4,
2020-03-12 00:00:00,30.2,26,36,,,,14.6,,1011.2,
2020-03-13 00:00:00,29.4,26,35,,,,13.1,,1011.5,
2020-03-14 00:00:00,29.4,27,34,,,,14.3,,1010.8,
2020-03-15 00:00:00,30.4,26,36,,,,16.6,,1010.5,
2020-03-16 00:00:00,30.2,26,37,,,,12.8,,1011,
2020-03-17 00:00:00,30.2,26,36,,,,14.1,,1011.6,
2020-03-18 00:00:00,29.6,26,35,,,,13.8,,1010.4,
